Path length, A* time, HPA* time 
756, 92.5202, 4.2308
759, 88.689, 1.5285
757, 113.6595, 2.0132
763, 135.7599, 2.9674
764, 123.559, 1.3205
762, 114.3393, 1.2729
761, 151.4006, 1.4508
760, 118.9455, 1.7837
766, 91.0914, 3.875
768, 113.1296, 1.7594
767, 131.1701, 1.3244
765, 97.4711, 1.3435
769, 127.2781, 1.3136
771, 134.6584, 3.6315
770, 188.196, 1.6014
772, 94.2003, 1.7765
774, 93.9822, 1.5329
776, 148.8322, 3.0418
773, 148.1565, 1.5095
779, 117.7636, 1.5116
778, 115.9337, 1.6633
777, 118.5551, 2.3906
780, 109.5304, 1.4561
781, 107.4634, 1.307
783, 109.7034, 1.2233
782, 170.9008, 1.8665
784, 130.7232, 1.3793
788, 142.6325, 1.83
786, 94.1914, 1.2712
785, 115.7366, 1.3115
787, 84.422, 0.9278
790, 122.219, 2.1449
792, 206.745, 2.1654
791, 169.3265, 2.371
789, 218.7812, 2.2864
795, 106.293, 1.2862
794, 209.5559, 2.146
793, 129.4065, 2.5292
796, 153.9012, 1.5233
798, 127.7804, 2.6698
797, 74.0104, 1.9656
800, 100.9973, 1.652
799, 144.5367, 1.4812
801, 114.9862, 1.685
804, 99.7655, 1.4831
803, 86.0475, 0.9544
802, 169.315, 1.6454
808, 135.8233, 2.1045
805, 87.0186, 2.4264
807, 100.1236, 1.2922
811, 102.5396, 1.399
809, 82.2728, 2.2956
810, 200.8169, 1.5357
812, 151.9832, 1.8632
814, 97.0517, 2.2556
813, 123.1199, 2.461
815, 84.356, 1.1086
816, 140.5964, 1.7023
818, 190.2309, 1.9462
820, 123.697, 2.3289
817, 90.3965, 2.2752
822, 152.1613, 2.2658
824, 99.3567, 2.1745
821, 137.4086, 2.3228
823, 218.6969, 1.5779
828, 110.6042, 2.4021
827, 88.3364, 2.0701
826, 124.5622, 1.7827
832, 114.2353, 1.3646
830, 128.1288, 1.259
829, 186.915, 1.8589
831, 123.5581, 3.8271
833, 175.9418, 2.864
836, 113.9666, 1.4304
835, 131.1365, 1.3528
839, 129.1976, 1.3478
837, 57.2566, 0.96
840, 124.157, 1.3622
838, 134.0807, 2.135
841, 142.7786, 1.4083
843, 198.3281, 1.7793
842, 124.6771, 2.3383
848, 158.8917, 2.2145
844, 181.8342, 2.9888
846, 98.9262, 1.5692
852, 128.1066, 1.8847
850, 115.8721, 3.407
849, 181.7217, 1.5694
851, 172.3564, 3.1254
856, 125.3295, 1.3603
855, 137.1758, 3.7269
853, 140.237, 2.3141
854, 134.6595, 2.5501
860, 145.2725, 1.3823
857, 179.7987, 2.1076
858, 123.0852, 2.4635
859, 64.4117, 1.1808
862, 171.65, 2.6532
861, 170.8216, 1.9889
864, 187.8563, 2.8553
867, 147.7292, 2.928
865, 177.5115, 1.4153
866, 120.2676, 3.1306
871, 160.738, 3.0762
870, 153.7475, 2.0569
872, 204.1498, 1.7766
869, 192.871, 2.551
868, 130.6786, 3.4145
874, 155.5031, 1.5125
873, 190.254, 1.6929
875, 188.7147, 2.6438
876, 148.611, 1.686
877, 133.4866, 1.5257
879, 63.1228, 2.1694
878, 112.9649, 1.2128
884, 154.8938, 2.1809
882, 143.642, 1.5928
883, 171.0905, 1.9159
881, 152.5608, 2.5647
887, 119.1627, 2.8321
886, 166.7937, 1.6385
885, 132.5246, 1.4386
891, 209.933, 2.2305
888, 90.9395, 1.3552
890, 106.4507, 1.7246
892, 180.4122, 1.5682
889, 128.728, 2.645
894, 181.178, 1.7048
895, 182.5286, 3.5411
893, 161.415, 1.9153
896, 152.747, 1.4516
898, 175.2627, 1.9232
897, 199.2328, 1.5646
899, 192.4734, 1.8436
904, 130.4704, 1.6232
901, 180.9426, 2.0352
903, 116.5766, 1.0812
902, 177.3893, 1.9249
900, 127.2422, 1.3738
908, 127.0067, 1.6433
907, 187.0373, 2.6334
905, 160.1934, 1.6018
906, 124.2242, 2.7024
911, 115.5406, 1.835
909, 171.9338, 1.5977
910, 215.2462, 2.0659
914, 117.3444, 1.4194
913, 150.4202, 2.563
915, 235.8445, 3.0594
916, 162.7595, 1.5676
912, 143.822, 1.5692
919, 155.8406, 1.5088
918, 152.0772, 2.8636
920, 155.6378, 1.9548
923, 151.4364, 2.3054
924, 203.015, 1.9011
922, 121.6873, 1.9498
925, 251.4394, 2.481
928, 186.1966, 3.1414
926, 265.0786, 4.0339
927, 136.2537, 1.5156
930, 168.234, 1.5041
929, 215.7931, 1.993
932, 138.9545, 1.3094
934, 217.0162, 1.7756
935, 163.9032, 2.7557
936, 210.96, 2.6761
933, 226.5846, 1.8459
939, 200.4445, 2.7591
938, 243.4077, 1.9382
937, 138.7365, 2.3264
940, 128.1532, 1.3296
941, 186.2748, 2.4826
944, 256.9634, 2.2756
942, 166.6205, 2.0707
948, 172.7114, 1.6958
947, 208.5654, 2.015
945, 148.136, 1.4718
950, 212.6184, 1.915
951, 211.2811, 1.8842
949, 291.647, 2.4387
955, 328.2524, 3.2157
952, 164.7423, 1.8367
953, 192.4026, 2.2239
954, 199.7109, 3.6468
956, 268.3377, 3.6236
958, 119.0489, 2.647
957, 146.4051, 1.929
959, 190.9799, 2.6101
962, 201.2813, 3.5561
961, 229.3573, 2.4077
960, 298.018, 2.6222
964, 189.349, 2.7415
963, 153.7395, 1.7734
967, 207.5532, 1.9779
968, 211.9477, 1.9671
965, 157.3211, 1.8307
971, 173.3019, 2.2559
970, 137.4225, 1.6548
